title;price;discount;developer;publisher;tags;release_date;valoration;reviews;stock;descarga;f2p
Ride 2;1.89€;-94%;Milestone S.r.l.;Milestone S.r.l.;['Un solo jugador', 'Carreras', 'Simulación', 'Deporte'];7 octubre 2016;9;44;En stock;Descarga digital;False
A Plague Tale Bundle;33.30€;-52%;Asobo Studio;Focus Entertainment;['Un solo jugador', 'Acción', 'Aventura'];17 octubre 2022;10;1;En stock;Descarga digital;False
Hidden Deep;5.30€;-73%;Cogwheel Software;Daedalic Entertainment;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'Early Access'];24 enero 2022;10;1;En stock;Descarga digital;False
Dead Cells: The Queen and the Sea;3.01€;-40%;Evil Empire;Motion Twin;['Un solo jugador', 'Acción', 'Indies', '\nDLC\n'];6 enero 2022;;0;Fuera de stock;;False
Predator: Hunting Grounds - Predator Bundle Edition;12.37€;-75%;IllFonic;PlayStation PC LLC;['PvP online', 'Acción'];29 abril 2021;8;12;En stock;Descarga digital;False
Europa Universalis IV: Cradle of Civilization - Content Pack - Europe;1.57€;-80%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];16 noviembre 2017;;0;En stock;Descarga digital;False
Saints Row 2;1.98€;-80%;Volition;Deep Silver;['Un solo jugador', 'Acción', '\nGeForce Now\n'];28 enero 2009;9;22;En stock;Descarga digital;False
HYPERCHARGE: Unboxed;15.42€;-23%;Digital Cybercherries;Digital Cybercherries;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'Estrategia'];27 abril 2020;10;3;En stock;Descarga digital;False
Wingspan;4.25€;-79%;Monster Couch;indienova;['Un solo jugador', 'Indies', 'Estrategia'];17 septiembre 2020;10;3;En stock;Descarga digital;False
Lost in Random;7.87€;-74%;Thunderful;Electronic Arts;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];10 septiembre 2021;5;4;En stock;Descarga digital;False
Peaky Blinders: Mastermind;2.13€;-91%;FuturLab;Curve Games;['Un solo jugador', 'Aventura', 'Indies', 'Estrategia', '\nGeForce Now\n'];20 agosto 2020;9;3;En stock;Descarga digital;False
Euro Truck Simulator 2 - Schwarzmüller Trailer Pack;2.40€;-20%;SCS Software;SCS Software;['Un solo jugador', 'Indies', 'Simulación', '\nDLC\n'];16 septiembre 2016;;0;En stock;Descarga digital;False
Serious Sam 4;10.42€;-73%;Croteam;Devolver Digital;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];24 septiembre 2020;9;3;En stock;Descarga digital;False
Metal Gear Solid V: Ground Zeroes;2.14€;-89%;Konami Digital Entertainment;Konami Digital Entertainment;['Un solo jugador', 'Acción', 'Aventura'];18 diciembre 2014;8;37;En stock;Descarga digital;False
Secret Neighbor;3.33€;-83%;Eerie Guest Studios;tinyBuild;['PvP online', 'Acción', 'Aventura', 'Indies'];24 octubre 2019;9;18;Fuera de stock;;False
Total War: Attila;5.70€;-87%;CREATIVE ASSEMBLY;SEGA;['Un solo jugador', 'Estrategia'];17 febrero 2015;9;67;En stock;Descarga digital;False
Postal 4: No Regerts;6.78€;-83%;Running With Scissors;Running With Scissors;['Un solo jugador', 'Acción', 'Aventura', '\nGeForce Now\n'];20 abril 2022;6;7;En stock;Descarga digital;False
Wolfenstein 3D;1.00€;-80%;id Software;Bethesda Softworks;['Un solo jugador', 'Acción'];3 agosto 1994;10;1;En stock;Descarga digital;False
Arma 3 Apex Edition;28.33€;-51%;;;['Acción', 'Simulación', 'Estrategia', 'Carreras', 'Un solo jugador'];12 septiembre 2013;10;370;En stock;Descarga digital;False
The Surge 2;3.77€;-87%;Deck13;Focus Entertainment;['Un solo jugador', 'Acción', 'RPG', '\nGeForce Now\n'];24 septiembre 2019;8;13;En stock;Descarga digital;False
Overcooked! 2 Season Pass;5.24€;-69%;Ghost Town Games Ltd.;Team17 Digital Ltd;['Un solo jugador', 'Acción', 'Indies', '\nDLC\n'];18 abril 2019;;0;En stock;Descarga digital;False
Europa Universalis IV: El Dorado Content Pack;1.04€;-83%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];26 febrero 2015;;0;En stock;Descarga digital;False
Lust for Darkness;1.00€;-93%;Movie Games Lunarium;Movie Games S.A.;['Un solo jugador', 'Aventura', 'Indies'];12 junio 2018;9;3;En stock;Descarga digital;False
GOD EATER 3;6.22€;-88%;BANDAI NAMCO Studios Inc.;BANDAI NAMCO Entertainment;['Un solo jugador', 'Acción'];8 febrero 2019;9;10;En stock;Descarga digital;False
Dead Or Alive 6;14.82€;-79%;KOEI TECMO GAMES CO., LTD.;KOEI TECMO GAMES CO., LTD.;['Un solo jugador', 'Acción'];1 marzo 2019;10;6;En stock;Descarga digital;False
Terraforming Mars;2.53€;-87%;Twin Sails Interactive;Twin Sails Interactive;['Un solo jugador', 'Estrategia'];17 octubre 2018;8;2;En stock;Descarga digital;False
Sniper: Ghost Warrior 2;1.16€;-88%;City Interactive;CI Games;['Un solo jugador', 'Acción', '\nGeForce Now\n'];12 marzo 2013;8;9;En stock;Descarga digital;False
V-Rally 4;1.17€;-96%;KT Racing;Nacon;['Un solo jugador', 'Carreras', '\nGeForce Now\n'];25 septiembre 2018;6;7;Fuera de stock;;False
Super Bomberman R;4.38€;-89%;Konami Digital Entertainment;Konami Digital Entertainment;['Un solo jugador', 'Acción'];12 junio 2018;;0;En stock;Descarga digital;False
Batman: Arkham VR;3.36€;-83%;Rocksteady Studios;Warner Bros. Interactive Entertainment;['Un solo jugador', 'Aventura'];25 abril 2017;7;10;En stock;Descarga digital;False
Steel Division: Normandy 44;2.86€;-93%;Eugen Systems;Paradox Interactive;['Un solo jugador', 'Acción', 'Simulación', 'Estrategia', '\nGeForce Now\n'];23 mayo 2017;9;11;En stock;Descarga digital;False
Farming Simulator 22 - Claas Xerion Saddle Trac Pack;2.82€;-29%;GIANTS Software GmbH;GIANTS Software GmbH;['Un solo jugador', 'Simulación', '\nDLC\n'];22 noviembre 2021;;0;En stock;Descarga digital;False
Mortal Shell Digital Deluxe Edition;7.50€;-71%;;;['Acción', 'RPG', 'Un solo jugador'];18 agosto 2021;10;6;Fuera de stock;;False
Electrician Simulator;8.90€;-51%;Take IT Studio!;Gaming Factory;['Un solo jugador', 'Aventura', 'Indies', 'Simulación'];21 septiembre 2022;;0;En stock;Descarga digital;False
Syberia 2;1.00€;-92%;Microids;Microids;['Un solo jugador', 'Aventura'];30 marzo 2004;9;11;En stock;Descarga digital;False
Autobahn Police Simulator 3;12.91€;-57%;Z-Software;Aerosoft GmbH;['Un solo jugador', 'Acción', 'Simulación'];23 junio 2022;4;9;En stock;Descarga digital;False
Symphony of War: The Nephilim Saga;6.90€;-65%;Dancing Dragon Games;Freedom Games;['RPG', 'Aventura', 'Estrategia', 'Indies', 'Un solo jugador'];10 junio 2022;;0;En stock;Descarga digital;False
Grid Legends;17.64€;-71%;Codemasters;Electronic Arts;['Un solo jugador', 'Acción', 'Carreras', 'Simulación', 'Deporte'];24 febrero 2022;10;1;En stock;Descarga digital;False
Surviving Mars: Martian Express;3.98€;-43%;Sylvain Maupetit;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];28 abril 2022;2;1;Fuera de stock;;False
Orcs Must Die! 3 - Tipping the Scales;3.32€;-50%;Robot Entertainment;Robot Entertainment;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'Estrategia', '\nDLC\n'];7 abril 2022;10;1;Fuera de stock;;False
Tour de France 2022 - Europe;8.12€;-80%;Cyanide Studio;Nacon;['Un solo jugador', 'Carreras', 'Simulación', 'Deporte', 'Estrategia', '\nGeForce Now\n'];9 junio 2022;6;4;En stock;Descarga digital;False
Fallout 4: Season Pass;8.51€;-76%;Bethesda Game Studios;Bethesda Softworks;['RPG', '\nDLC\n'];22 marzo 2016;10;83;En stock;Descarga digital;False
MotoGP 22;33.34€;-33%;Milestone S.r.l.;Milestone S.r.l.;['Un solo jugador', 'Carreras', 'Simulación', 'Deporte', '\nGeForce Now\n'];21 abril 2022;6;17;En stock;Descarga digital;False
Lake;4.48€;-78%;Gamious;Whitethorn Games;['Un solo jugador', 'Aventura', 'Indies'];1 septiembre 2021;9;5;En stock;Descarga digital;False
Yakuza 3 Remastered - Europe;5.12€;-74%;Ryu Ga Gotoku Studio;SEGA;['Un solo jugador', 'Acción', 'Aventura'];28 enero 2021;10;1;En stock;Descarga digital;False
Yakuza 4 Remastered - Europe;6.48€;-68%;Ryu Ga Gotoku Studio;SEGA;['Un solo jugador', 'Acción', 'Aventura'];28 enero 2021;;0;En stock;Descarga digital;False
Yakuza 5 Remastered - Europe;6.40€;-68%;Ryu Ga Gotoku Studio;SEGA;['Un solo jugador', 'Acción', 'Aventura'];28 enero 2021;;0;En stock;Descarga digital;False
House Flipper VR;2.98€;-85%;Frozen Way;Frozen Way;['Un solo jugador', 'Indies', 'Simulación'];5 noviembre 2020;10;59;En stock;Descarga digital;False
MechWarrior 5 Mercenaries - Heroes of the Inner Sphere;5.66€;-72%;Piranha Games Inc.;Fireshine Games;['Un solo jugador', 'Acción', 'Simulación', '\nDLC\n'];27 mayo 2021;;0;En stock;Descarga digital;False
Tropico 3;1.00€;-90%;Haemimont Games;Kalypso Media Digital;['Un solo jugador', 'Simulación', 'Estrategia'];13 noviembre 2009;6;2;En stock;Descarga digital;False
Founders' Fortune;1.00€;-95%;Dionic Software;Dionic Software;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia'];18 diciembre 2020;;0;Fuera de stock;;False
Dead by Daylight - All-Kill Chapter;5.32€;-24%;Behaviour Interactive Inc.;Behaviour Interactive Inc.;['PvP online', 'Acción', '\nDLC\n'];30 marzo 2021;9;5;En stock;Descarga digital;False
Nickelodeon Kart Racers 2: Grand Prix;1.61€;-92%;Bamtang Games;GameMill Entertainment;['Un solo jugador', 'Acción', 'Carreras'];1 diciembre 2020;6;1;En stock;Descarga digital;False
SpellForce 3: Fallen God;4.93€;-75%;Grimlore Games;THQ Nordic;['Un solo jugador', 'RPG', 'Estrategia'];3 noviembre 2020;;0;En stock;Descarga digital;False
Door Kickers: Action Squad;1.55€;-87%;PixelShard;KillHouse Games;['Un solo jugador', 'Acción', 'Indies', 'Simulación', 'Estrategia', '\nGeForce Now\n'];10 septiembre 2018;10;1;Fuera de stock;;False
Europa Universalis IV: Emperor Content Pack;1.20€;-80%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];9 junio 2020;;0;Fuera de stock;;False
Jurassic World Evolution: Herbivore Dinosaur Pack;2.45€;-51%;Frontier Developments;Frontier Developments;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];17 septiembre 2019;9;2;Fuera de stock;;False
Jurassic World Evolution: Carnivore Dinosaur Pack;2.32€;-54%;Frontier Developments;Frontier Developments;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];17 abril 2019;;0;En stock;Descarga digital;False
Space Haven;7.53€;-66%;Bugbyte Ltd.;Bugbyte Ltd.;['Un solo jugador', 'Indies', 'RPG', 'Simulación', 'Estrategia', 'Early Access', '\nGeForce Now\n'];21 mayo 2020;8;3;En stock;Descarga digital;False
Overcooked! 2 - Campfire Cook Off;1.70€;-66%;Ghost Town Games Ltd.;Team17 Digital Ltd;['Un solo jugador', 'Acción', 'Indies', '\nDLC\n'];18 abril 2019;;0;En stock;Descarga digital;False
Carrion;9.42€;-53%;Phobia Game Studio;Devolver Digital;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];23 julio 2020;10;4;En stock;Descarga digital;False
Arizona Sunshine - The Damned;1.01€;-80%;Jaywalkers Interactive;Vertigo Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies', '\nDLC\n'];3 octubre 2019;;0;En stock;Descarga digital;False
Europa Universalis IV: Wealth of Nations;2.45€;-75%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];29 mayo 2014;;0;En stock;Descarga digital;False
Resident Evil HD - Europe;3.93€;-80%;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;['Un solo jugador', 'Acción', 'Aventura'];20 enero 2015;10;36;Fuera de stock;;False
Sacred 3;1.00€;-93%;Keen Games;THQ Nordic;['Un solo jugador', 'Acción', 'RPG', '\nGeForce Now\n'];1 agosto 2014;6;18;En stock;Descarga digital;False
Dead by Daylight: The 80's Suitcase;1.00€;-67%;Behaviour Digital Inc.;Behaviour Digital Inc.;['PvP online', 'Acción', '\nDLC\n'];23 septiembre 2016;9;5;En stock;Descarga digital;False
Europa Universalis IV: Rights of Man Content Pack;1.33€;-78%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];11 octubre 2016;;0;En stock;Descarga digital;False
Lego DC Super-Villains;2.15€;-95%;Feral Interactive (Mac);Feral Interactive (Mac);['Un solo jugador', 'Acción', 'Aventura'];16 octubre 2018;10;19;En stock;Descarga digital;False
SuperPower 2 Steam Edition;1.15€;-88%;GolemLabs;THQ Nordic;['Un solo jugador', 'Simulación', 'Estrategia'];11 octubre 2004;10;1;En stock;Descarga digital;False
Icewind Dale: Enhanced Edition;2.12€;-89%;Beamdog;Beamdog;['Un solo jugador', 'Aventura', 'RPG'];30 octubre 2014;10;2;En stock;Descarga digital;False
Marooners;1.00€;-90%;M2H;M2H;['Un solo jugador', 'Acción', 'Indies'];15 septiembre 2016;8;3;En stock;Descarga digital;False
XCOM 2: War of the Chosen - Europe;3.33€;-92%;Feral Interactive (Linux);Feral Interactive (Linux);['Un solo jugador', 'Estrategia', '\nDLC\n'];3 diciembre 2018;10;22;En stock;Descarga digital;False
Ruiner;2.45€;-88%;Reikon Games;Devolver Digital;['Un solo jugador', 'Acción', 'Indies'];26 septiembre 2017;9;1;En stock;Descarga digital;False
Orcs Must Die! 3 Complete Bundle;17.99€;-48%;Robot Entertainment;Robot Entertainment;['Acción', 'Aventura', 'Indies', 'Estrategia', 'Un solo jugador'];23 julio 2021;10;24;En stock;Descarga digital;False
Earth Defense Force 5;24.79€;-50%;SANDLOT;D3PUBLISHER;['Un solo jugador', 'Acción'];11 julio 2019;;0;Fuera de stock;;False
theHunter: Call of the Wild - Revontuli Coast;5.99€;-25%;Expansive Worlds;Expansive Worlds;['Un solo jugador', 'Aventura', 'Simulación', 'Deporte', '\nDLC\n'];28 junio 2022;;0;En stock;Descarga digital;False
Startup Panic;2.24€;-85%;Algorocks;tinyBuild;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia'];20 enero 2022;7;1;En stock;Descarga digital;False
Diplomacy is Not an Option;13.85€;-34%;Door 407;Door 407;['Un solo jugador', 'Indies', 'Estrategia', 'Early Access'];9 febrero 2022;5;5;En stock;Descarga digital;False
Scorn;14.35€;-64%;Ebb Software;Kepler Interactive;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];14 octubre 2022;7;20;En stock;Descarga digital;False
Warhammer 40,000: Battlesector;11.79€;-65%;Black Lab Games;Slitherine Ltd.;['Un solo jugador', 'Estrategia', '\nGeForce Now\n'];22 julio 2021;9;2;En stock;Descarga digital;False
Ghostbusters: The Video Game Remastered;2.81€;-87%;Saber Interactive;Mad Dog Games, LLC;['Un solo jugador', 'Acción'];4 octubre 2019;9;9;En stock;Descarga digital;False
Deus Ex: Mankind Divided;4.40€;-85%;Feral Interactive (Linux);Feral Interactive (Linux);['Un solo jugador', 'Acción', 'RPG', '\nGeForce Now\n'];23 agosto 2016;8;78;Fuera de stock;;False
Observation;1.20€;-94%;No Code;Devolver Digital;['Un solo jugador', 'Aventura', 'Indies', '\nGeForce Now\n'];21 mayo 2020;10;2;En stock;Descarga digital;False
Jurassic World Evolution: Claire's Sanctuary;5.12€;-66%;Frontier Developments;Frontier Developments;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];18 junio 2019;;0;En stock;Descarga digital;False
Command & Conquer: Remastered Collection;9.48€;-53%;Lemon Sky Studios;Electronic Arts;['Un solo jugador', 'Estrategia'];5 junio 2020;9;7;Fuera de stock;;False
Ride;1.13€;-94%;Milestone S.r.l.;Milestone S.r.l.;['Un solo jugador', 'Carreras', 'Simulación', 'Deporte'];27 marzo 2015;9;10;En stock;Descarga digital;False
Iconoclasts;1.58€;-92%;Joakim Sandberg;INTRAGAMES CO., LTD.;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];23 enero 2018;9;1;En stock;Descarga digital;False
Dragon Quest Builders 2;24.38€;-51%;KOEI TECMO GAMES CO., LTD.;Square Enix;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];10 diciembre 2019;7;3;En stock;Descarga digital;False
Predator: Hunting Grounds;6.78€;-83%;IllFonic;PlayStation PC LLC;['PvP online', 'Acción'];29 abril 2021;8;12;En stock;Descarga digital;False
Arizona Sunshine - Dead Man;1.00€;-60%;Jaywalkers Interactive;Vertigo Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies', '\nDLC\n'];24 mayo 2018;;0;En stock;Descarga digital;False
HuniePop;1.96€;-80%;HuniePot;HuniePot;['Un solo jugador', 'Indies', 'RPG', 'Simulación', 'Estrategia'];19 enero 2015;10;1;En stock;Descarga digital;False
Mortal Kombat 11 Kombat Pack;2.26€;-89%;Shiver;Shiver;['Un solo jugador', 'Acción', '\nDLC\n'];23 abril 2019;;0;En stock;Descarga digital;False
American Fugitive;1.16€;-94%;Fallen Tree Games Ltd;Curve Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies', '\nGeForce Now\n'];21 mayo 2019;7;7;En stock;Descarga digital;False
Imperator: Rome Deluxe Edition;5.91€;-85%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia'];25 abril 2019;7;20;En stock;Descarga digital;False
Ni No Kuni II: Revenant Kingdom Prince's Edition;10.88€;-86%;Level-5;BANDAI NAMCO Entertainment;['Un solo jugador', 'Aventura', 'RPG'];23 marzo 2018;10;40;En stock;Descarga digital;False
Yuppie Psycho;1.85€;-89%;Baroque Decay;Neon Doctrine;['Un solo jugador', 'Aventura', 'Indies', '\nGeForce Now\n'];25 abril 2019;8;4;En stock;Descarga digital;False
The Golf Club 2019 Featuring PGA Tour - Europe;1.12€;-98%;HB Studios Multimedia Ltd.;2K;['Un solo jugador', 'Indies', 'Simulación', 'Deporte', 'Estrategia'];28 agosto 2018;9;3;En stock;Descarga digital;False
Disney Epic Mickey 2: The Power of Two;4.94€;-71%;Junction Point;Disney;['Un solo jugador', 'Acción', 'Aventura'];18 noviembre 2012;8;6;En stock;Descarga digital;False
Construction Simulator 2015 Deluxe Edition;5.80€;-77%;weltenbauer. Software Entwicklung GmbH;astragon Entertainment;['Un solo jugador', 'Simulación'];18 noviembre 2014;8;23;En stock;Descarga digital;False
Worms Armageddon;1.98€;-87%;Team17 Digital Ltd;Team17 Digital Ltd;['Un solo jugador', 'Estrategia', '\nGeForce Now\n'];31 mayo 1999;9;7;Fuera de stock;;False
Cities: Skylines - Parklife Plus;5.17€;-71%;Colossal Order Ltd.;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];24 mayo 2018;8;4;En stock;Descarga digital;False
Rising Storm 2: Vietnam Deluxe Edition;3.37€;-88%;Antimatter Games;Tripwire Interactive;['PvP online', 'Acción', 'Simulación', 'Estrategia'];30 mayo 2017;9;129;En stock;Descarga digital;False
F.E.A.R. 3;1.47€;-93%;Day 1 Studios;Warner Bros. Interactive Entertainment;['Un solo jugador', 'Acción'];21 junio 2011;8;53;En stock;Descarga digital;False
Mount & Blade: Warband - Napoleonic Wars;1.73€;-83%;Flying Squirrel Entertainment;TaleWorlds Entertainment;['Acción', 'RPG', '\nDLC\n'];19 abril 2012;9;5;Fuera de stock;;False
Sniper Elite 4 Season Pass;2.99€;-91%;Rebellion;Rebellion;['Un solo jugador', 'Acción', 'Aventura', '\nDLC\n'];14 febrero 2017;10;8;En stock;Descarga digital;False
Road Redemption;2.20€;-87%;EQ-Games , Pixel Dash Studios;Tripwire Presents;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'Carreras', 'Simulación', '\nGeForce Now\n'];7 octubre 2019;10;4;En stock;Descarga digital;False
Power & Revolution 2022 Edition;29.71€;-41%;Eversim;Eversim;['Un solo jugador', 'Simulación', 'Estrategia'];7 abril 2022;;0;Fuera de stock;;False
Melvor Idle;4.66€;-52%;Games by Malcs;Jagex Ltd;['Un solo jugador', 'Aventura', 'Indies', 'RPG'];18 noviembre 2021;;0;Fuera de stock;;False
Dead Rising 2 Off The Record;3.93€;-80%;Capcom Vancouver;Capcom;['Un solo jugador', 'Acción', 'Aventura'];11 octubre 2011;9;19;En stock;Descarga digital;False
Assetto Corsa Porsche Season Pass;6.87€;-36%;;;['Indies', 'Carreras', 'Simulación', 'Deporte', 'Un solo jugador'];20 diciembre 2016;;0;En stock;Descarga digital;False
The Jackbox Party Starter;8.62€;-57%;Jackbox Games, Inc.;Jackbox Games, Inc.;['Un solo jugador', 'Indies'];30 junio 2022;;0;Fuera de stock;;False
This War of Mine: Complete Edition;4.25€;-86%;;;['Aventura', 'Indies', 'Simulación', 'Un solo jugador'];14 noviembre 2014;9;68;En stock;Descarga digital;False
Astral Ascent;8.93€;-59%;Hibernian Workshop;Maple Whispering Limited;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'Early Access'];12 abril 2022;10;2;En stock;Descarga digital;False
Saints Row: The Third - The Full Package;3.18€;-79%;Volition;Deep Silver;['Un solo jugador', 'Acción'];15 noviembre 2011;9;47;En stock;Descarga digital;False
WRC 9 Edition Deluxe FIA World Rally Championship;5.00€;-88%;;;['Carreras', 'Simulación', 'Deporte', 'Un solo jugador'];16 septiembre 2021;8;15;Fuera de stock;;False
Redout 2;10.42€;-65%;34BigThings srl;Saber Interactive;['Un solo jugador', 'Acción', 'Carreras', 'Deporte'];16 junio 2022;;0;En stock;Descarga digital;False
Matchpoint - Tennis Championships Legends Edition - Europe;9.99€;-78%;Torus Games;Kalypso Media;['Un solo jugador', 'Simulación', 'Deporte'];7 julio 2022;5;3;En stock;Descarga digital;False
Dead by Daylight - Portrait of a Murder;5.92€;-15%;Behaviour Interactive Inc.;Behaviour Interactive Inc.;['PvP online', 'Acción', '\nDLC\n'];30 noviembre 2021;10;3;En stock;Descarga digital;False
WRC 10: FIA World Rally Championship - Deluxe Edition;17.17€;-71%;KT Racing;Nacon;['Un solo jugador', 'Carreras', 'Simulación', 'Deporte'];2 septiembre 2021;6;15;En stock;Descarga digital;False
Naruto to Boruto: Shinobi Striker Season Pass 4;9.35€;-38%;Soleil Ltd.;BANDAI NAMCO Entertainment;['Un solo jugador', 'Acción', '\nDLC\n'];24 junio 2021;;0;En stock;Descarga digital;False
Vampyr;7.81€;-80%;DONTNOD Entertainment;Focus Entertainment;['Un solo jugador', 'Acción', 'RPG', '\nGeForce Now\n'];5 junio 2018;8;81;En stock;Descarga digital;False
Stronghold 2: Steam Edition;3.41€;-73%;FireFly Studios;FireFly Studios;['Un solo jugador', 'Simulación', 'Estrategia'];;10;3;En stock;Descarga digital;False
Stellaris: Galaxy Edition Upgrade Pack;2.86€;-78%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];4 abril 2017;;0;En stock;Descarga digital;False
Fishing: North Atlantic;23.49€;-22%;Misc Games;Misc Games;['Un solo jugador', 'Simulación', '\nGeForce Now\n'];16 octubre 2020;8;6;En stock;Descarga digital;False
Binary Domain Collection;1.50€;-91%;Devil's Details;SEGA;['Un solo jugador', 'Acción'];27 abril 2012;8;19;En stock;Descarga digital;False
The Survivalists Deluxe Edition;5.36€;-84%;Team17;Team17;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];9 octubre 2020;10;12;Fuera de stock;;False
Sniper Elite III Season Pass;3.60€;-88%;Rebellion;Rebellion;['Un solo jugador', 'Acción', 'Aventura', '\nDLC\n'];27 junio 2014;7;4;En stock;Descarga digital;False
Persona 4 Golden - Europe;16.24€;-19%;ATLUS;SEGA;['Un solo jugador', 'RPG'];13 junio 2020;10;15;En stock;Descarga digital;False
Sword Art Online: Alicization Lycoris Deluxe Edition;12.33€;-86%;AQURIA Co., Ltd.;BANDAI NAMCO Entertainment;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];10 julio 2020;9;19;En stock;Descarga digital;False
Naruto Shippuden: Ultimate Ninja Storm 2;3.63€;-82%;CyberConnect2 Co. Ltd.;BANDAI NAMCO Entertainment;['Un solo jugador', 'Acción', 'Aventura', 'Estrategia'];25 agosto 2017;9;1;En stock;Descarga digital;False
SpellForce 3: Soul Harvest;3.69€;-82%;Grimlore Games;THQ Nordic;['Un solo jugador', 'RPG', 'Estrategia', '\nGeForce Now\n'];28 mayo 2019;7;2;En stock;Descarga digital;False
The Legend of Heroes: Trails in the Sky;5.54€;-65%;Nihon Falcom;Marvelous USA, Inc.;['Un solo jugador', 'RPG', '\nGeForce Now\n'];29 julio 2014;10;3;En stock;Descarga digital;False
Pathway;1.29€;-91%;Robotality;Chucklefish;['Un solo jugador', 'Aventura', 'Indies', 'RPG', 'Estrategia', '\nGeForce Now\n'];11 abril 2019;10;2;En stock;Descarga digital;False
Dead by Daylight: A Nightmare on Elm Street;6.31€;-10%;Behaviour Digital Inc.;Behaviour Digital Inc.;['PvP online', 'Acción', '\nDLC\n'];26 octubre 2017;10;3;En stock;Descarga digital;False
Total War: ATTILA: Celts Culture Pack;1.58€;-82%;CREATIVE ASSEMBLY;SEGA;['Un solo jugador', 'Estrategia', '\nDLC\n'];25 marzo 2015;;0;En stock;Descarga digital;False
F.E.A.R Platinum Edition;1.88€;-97%;Timegate;Warner Bros. Games;['Un solo jugador', 'Acción'];17 octubre 2005;10;5;Fuera de stock;;False
Imperator: Rome;2.85€;-93%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nGeForce Now\n'];25 abril 2019;7;20;En stock;Descarga digital;False
Tennis World Tour;1.66€;-94%;Breakpoint;Nacon;['Un solo jugador', 'Deporte'];12 junio 2018;3;23;En stock;Descarga digital;False
Dead Island: Riptide Complete Edition;4.26€;-79%;Techland;Deep Silver;['Un solo jugador', 'Acción'];31 mayo 2016;8;46;Fuera de stock;;False
Evil Genius 2: World Domination;8.12€;-80%;Rebellion;Rebellion;['Un solo jugador', 'Simulación', 'Estrategia', '\nGeForce Now\n'];30 marzo 2021;8;13;En stock;Descarga digital;False
Warhammer 40.000: Dawn of War II Master Collection;4.45€;-92%;Feral Interactive (Mac/Linux);Feral Interactive (Mac/Linux);['Un solo jugador', 'Estrategia'];19 febrero 2009;9;20;En stock;Descarga digital;False
Bastion;2.02€;-86%;Supergiant Games;Supergiant Games;['Un solo jugador', 'Acción', 'Indies', 'RPG'];16 agosto 2011;9;19;Fuera de stock;;False
Call of Duty 4: Modern Warfare;10.08€;-50%;Infinity Ward;Activision;['Un solo jugador', 'Acción'];12 noviembre 2007;10;38;Fuera de stock;;False
Mount & Blade Full Collection;8.73€;-83%;TaleWorlds Entertainment;TaleWorlds Entertainment;['Un solo jugador', 'Indies', 'RPG'];16 septiembre 2008;10;22;En stock;Descarga digital;False
Warhammer 40,000: Chaos Gate – Daemonhunters - Duty Eternal - Europe;10.99€;-27%;;;['Un solo jugador', 'RPG', 'Estrategia', '\nDLC\n'];6 diciembre 2022;;0;En stock;Descarga digital;False
Cafe Owner Simulator;12.36€;-33%;Second Reality;RockGame S.A.;['Un solo jugador', 'Indies', 'Simulación'];5 diciembre 2022;6;5;En stock;Descarga digital;False
Metro Saga Bundle;19.50€;-67%;;;['Acción', 'Un solo jugador'];14 diciembre 2020;;0;En stock;Descarga digital;False
